parent_id,parent_name
1,Airport Lake
2,Almanor
3,Anacapa - Dume [1]
5,Anaheim
1000,Antelope Valley
6,Ash Hill
7,Baker
8,Bartlett Springs
9,Battle Creek
10,Bear River
11,Bennett Valley
12,Bicycle Lake
13,Big Lagoon - Bald Mountain
14,Big Pine (center)
15,Big Pine (east)
16,Big Pine (west)
17,Blackwater
18,Blue Cut
19,Brawley [1]
21,Breckenridge
22,Bullion Mountains
23,Burnt Mountain
24,Butano
25,Cady
922,Calaveras (center)
923,Calaveras (north)
920,"Calaveras (south, Paicines)"
921,Calaveras (south)
26,Calico - Hidalgo
27,Camp Rock
28,Canada David
29,Carlsbad
1001,Carson Range [0]
30,Casmalia
31,Cedar Mountain - Mahogany Mountain
32,Cerro Prieto
33,Channel Islands
34,Channel Islands (ramp)
35,Chino [1]
37,Clamshell - Sawpit
38,Clayton
39,Cleghorn
40,Cleghorn Lake
41,Cleghorn Pass
42,Collayomi
43,Compton
44,Concord
47,Contra Costa (Lafayette)
54,Contra Costa (connected) [1]
55,Coronado Bank [1]
57,Coyote Canyon
58,Coyote Lake
59,Cucamonga
61,Davis Creek
62,Death Valley (Black Mountains)
63,Death Valley (Fish Lake Valley)
64,Death Valley (north)
65,Death Valley (south)
66,Deep Springs
67,Del Valle
68,Dog Valley
69,Dry Mountain
70,Earthquake Valley (center)
71,Earthquake Valley (north)
72,Earthquake Valley (south)
73,East Huasna
74,Eaton Roughs
75,Elmore Ranch
840,Elsinore (Coyote Mountains)
844,Elsinore (Glen Ivy)
841,Elsinore (Julian)
843,Elsinore (stepover)
842,Elsinore (Temecula)
76,Elysian Park (lower)
77,Elysian Park (upper)
78,Emerson - Copper Mountain
79,Eureka Peak
80,Fickle Hill [1]
81,Fish Slough
82,Fitzhugh Creek
83,Fontana (seismicity)
84,Franklin
85,Garberville - Briceland
86,Garlic Springs
881,Garlock (center)
882,Garlock (east)
880,Garlock (west)
87,Gillem - Big Crack
88,Goldstone Lake
2500,Goose Lake
89,Gravel Hills - Harper Lake
90,Great Valley 1
96,Great Valley 2
97,Great Valley 3 (Mysterious Ridge)
98,Great Valley 3a (Dunnigan Hills)
99,Great Valley 4a (Trout Creek)
100,Great Valley 4b (Gordon Valley)
101,Great Valley 5 (Pittsburg - Kirby Hills) [1]
103,Great Valley 6 (Midland) [1]
105,Great Valley 7 (Orestimba)
106,Great Valley 8 (Quinto)
107,Great Valley 9 (Laguna Seca)
91,Great Valley 10 (Panoche)
92,Great Valley 11
93,Great Valley 12
94,Great Valley 13 (Coalinga)
95,Great Valley 14 (Kettleman Hills)
108,Green Valley
109,Greenville (north)
110,Greenville (south)
111,Hartley Springs
112,Hat Creek - McArthur - Mayfield
902,Hayward (north)
901,Hayward (south)
900,"Hayward (south, extension)"
113,Hector Mine
114,Helendale - Lockhart (south)
115,Hilton Creek
116,Hollywood
117,Holser [1]
119,Homestead Valley
120,Honey Lake
121,Hosgri
122,Hosgri (extension)
123,Hunter Mountain - Saline Valley
124,Hunting Creek - Bartlett Springs (connector)
125,Hunting Creek - Berryessa
126,Imperial
1002,Incline Village
127,Independence
128,Jess Valley
129,Johnson Valley (north)
130,Joshua Tree (seismicity)
131,Keddie Ridge
132,Kern Canyon (Lake Isabella)
133,Kern Canyon (north)
134,Kern Canyon (south)
135,Kickapoo
136,King Range
137,La Panza
138,Laguna Salada
139,Lake Isabella (seismicity)
140,Las Positas
141,Last Chance
142,Lenwood - Lockhart - Old Woman Springs
143,Likely
144,Lions Head
145,Little Lake
146,Little Salmon (offshore)
147,Little Salmon (onshore)
148,Los Alamos
149,Los Alamos (extension)
150,Los Medanos - Roe Island
151,Los Osos
152,Lost Hills
153,Ludlow
155,Maacama
157,Mad River [1]
158,Malibu Coast (extension) [1]
160,Malibu Coast [1]
162,Manix - Afton Hills
163,McKinleyville [1]
164,McLean Lake
165,Mendocino
167,Mission (connected)
168,Mission Creek
169,Mission Hills
170,Mission Ridge - Arroyo Parida - Santa Ana
171,Mohawk Valley
172,Mono Lake
173,Monte Vista - Shannon
174,Monterey Bay - Tularcitos
175,Morales (east)
176,Morales (west)
177,Mount Diablo (north) [1]
178,Mount Diablo (south) [1]
180,Nelson Lake
181,Newport - Inglewood (offshore)
182,Newport - Inglewood [1]
185,North Frontal (east)
186,North Frontal (west)
187,North Salt Lake
188,North Tahoe
189,Northridge
190,Northridge Hills
193,Oak Ridge (onshore)
194,Oceanic - West Huasna
195,Oceanside [1]
197,Ortigalita (north)
198,Ortigalita (south)
199,Owens Valley
200,Owens Valley (Keough Hot Springs)
201,Owl Lake
202,Ozena
203,Palos Verdes
204,Panamint Valley
205,Paradise
206,Peralta Hills
207,Pilarcitos
208,Pine Mountain
209,Pinto Mountain
