name,parent_id,parent_name
Airport Lake,1,Airport Lake
Almanor,2,Almanor
Anacapa - Dume [2],4,Anacapa - Dume [2]
Anaheim,5,Anaheim
Antelope Valley,1000,Antelope Valley
Ash Hill,6,Ash Hill
Baker,7,Baker
Bartlett Springs,8,Bartlett Springs
Battle Creek,9,Battle Creek
Bear River,10,Bear River
Bennett Valley,11,Bennett Valley
Bicycle Lake,12,Bicycle Lake
Big Lagoon - Bald Mountain,13,Big Lagoon - Bald Mountain
Big Pine (center),14,Big Pine (center)
Big Pine (east),15,Big Pine (east)
Big Pine (west),16,Big Pine (west)
Blackwater,17,Blackwater
Blue Cut,18,Blue Cut
Brawley [2],20,Brawley [2]
Breckenridge,21,Breckenridge
Bullion Mountains,22,Bullion Mountains
Burnt Mountain,23,Burnt Mountain
Butano,24,Butano
Cady,25,Cady
Calaveras (center),922,Calaveras (center)
Calaveras (north),923,Calaveras (north)
"Calaveras (south, Paicines)",920,"Calaveras (south, Paicines)"
Calaveras (south),921,Calaveras (south)
Calico - Hidalgo,26,Calico - Hidalgo
Camp Rock,27,Camp Rock
Canada David,28,Canada David
Carlsbad,29,Carlsbad
Carson Range [0],1001,Carson Range [0]
Casmalia,30,Casmalia
Cedar Mountain - Mahogany Mountain,31,Cedar Mountain - Mahogany Mountain
Cerro Prieto,32,Cerro Prieto
Channel Islands,33,Channel Islands
Channel Islands (ramp),34,Channel Islands (ramp)
Chino [2],36,Chino [2]
Clamshell - Sawpit,37,Clamshell - Sawpit
Clayton,38,Clayton
Cleghorn,39,Cleghorn
Cleghorn Lake,40,Cleghorn Lake
Cleghorn Pass,41,Cleghorn Pass
Collayomi,42,Collayomi
Compton,43,Compton
Concord,44,Concord
Contra Costa (Briones) [2],45,Contra Costa (Briones) [2]
Contra Costa (Dillon Point) [2],46,Contra Costa (Dillon Point) [2]
Contra Costa (Lafayette),47,Contra Costa (Lafayette)
Contra Costa (Lake Chabot) [2],48,Contra Costa (Lake Chabot) [2]
Contra Costa (Larkey) [2],49,Contra Costa (Larkey) [2]
Contra Costa (Ozal - Columbus) [2],50,Contra Costa (Ozal - Columbus) [2]
Contra Costa (Reliez Valley) [2],51,Contra Costa (Reliez Valley) [2]
Contra Costa (Southampton) [2],52,Contra Costa (Southampton) [2]
Contra Costa (Vallejo) [2],53,Contra Costa (Vallejo) [2]
Coronado Bank [2],56,Coronado Bank [2]
Coyote Canyon,57,Coyote Canyon
Coyote Lake,58,Coyote Lake
Cucamonga,59,Cucamonga
Davis Creek,61,Davis Creek
Death Valley (Black Mountains),62,Death Valley (Black Mountains)
Death Valley (Fish Lake Valley),63,Death Valley (Fish Lake Valley)
Death Valley (north),64,Death Valley (north)
Death Valley (south),65,Death Valley (south)
Deep Springs,66,Deep Springs
Del Valle,67,Del Valle
Dog Valley,68,Dog Valley
Dry Mountain,69,Dry Mountain
Earthquake Valley (center),70,Earthquake Valley (center)
Earthquake Valley (north),71,Earthquake Valley (north)
Earthquake Valley (south),72,Earthquake Valley (south)
East Huasna,73,East Huasna
Eaton Roughs,74,Eaton Roughs
Elmore Ranch,75,Elmore Ranch
Elsinore (Coyote Mountains),840,Elsinore (Coyote Mountains)
Elsinore (Glen Ivy),844,Elsinore (Glen Ivy)
Elsinore (Julian),841,Elsinore (Julian)
Elsinore (stepover),843,Elsinore (stepover)
Elsinore (Temecula),842,Elsinore (Temecula)
Elysian Park (lower),76,Elysian Park (lower)
Elysian Park (upper),77,Elysian Park (upper)
Emerson - Copper Mountain,78,Emerson - Copper Mountain
Eureka Peak,79,Eureka Peak
Fish Slough,81,Fish Slough
Fitzhugh Creek,82,Fitzhugh Creek
Fontana (seismicity),83,Fontana (seismicity)
Franklin,84,Franklin
Garberville - Briceland,85,Garberville - Briceland
Garlic Springs,86,Garlic Springs
Garlock (center),881,Garlock (center)
Garlock (east),882,Garlock (east)
Garlock (west),880,Garlock (west)
Gillem - Big Crack,87,Gillem - Big Crack
Goldstone Lake,88,Goldstone Lake
Goose Lake,2500,Goose Lake
Gravel Hills - Harper Lake,89,Gravel Hills - Harper Lake
Great Valley 1,90,Great Valley 1
Great Valley 2,96,Great Valley 2
Great Valley 3 (Mysterious Ridge),97,Great Valley 3 (Mysterious Ridge)
Great Valley 3a (Dunnigan Hills),98,Great Valley 3a (Dunnigan Hills)
Great Valley 4a (Trout Creek),99,Great Valley 4a (Trout Creek)
Great Valley 4b (Gordon Valley),100,Great Valley 4b (Gordon Valley)
Great Valley 5 (Pittsburg - Kirby Hills) [2],102,Great Valley 5 (Pittsburg - Kirby Hills) [2]
Great Valley 6 (Midland) [2],104,Great Valley 6 (Midland) [2]
Great Valley 7 (Orestimba),105,Great Valley 7 (Orestimba)
Great Valley 8 (Quinto),106,Great Valley 8 (Quinto)
Great Valley 9 (Laguna Seca),107,Great Valley 9 (Laguna Seca)
Great Valley 10 (Panoche),91,Great Valley 10 (Panoche)
Great Valley 11,92,Great Valley 11
Great Valley 12,93,Great Valley 12
Great Valley 13 (Coalinga),94,Great Valley 13 (Coalinga)
Great Valley 14 (Kettleman Hills),95,Great Valley 14 (Kettleman Hills)
Green Valley,108,Green Valley
Greenville (north),109,Greenville (north)
Greenville (south),110,Greenville (south)
Hartley Springs,111,Hartley Springs
Hat Creek - McArthur - Mayfield,112,Hat Creek - McArthur - Mayfield
Hayward (north),902,Hayward (north)
Hayward (south),901,Hayward (south)
"Hayward (south, extension)",900,"Hayward (south, extension)"
Hector Mine,113,Hector Mine
Helendale - Lockhart (south),114,Helendale - Lockhart (south)
Hilton Creek,115,Hilton Creek
Hollywood,116,Hollywood
Holser [2],118,Holser [2]
Homestead Valley,119,Homestead Valley
Honey Lake,120,Honey Lake
Hosgri,121,Hosgri
Hosgri (extension),122,Hosgri (extension)
Hunter Mountain - Saline Valley,123,Hunter Mountain - Saline Valley
Hunting Creek - Bartlett Springs (connector),124,Hunting Creek - Bartlett Springs (connector)
Hunting Creek - Berryessa,125,Hunting Creek - Berryessa
Imperial,126,Imperial
Incline Village,1002,Incline Village
Independence,127,Independence
Jess Valley,128,Jess Valley
Johnson Valley (north),129,Johnson Valley (north)
Joshua Tree (seismicity),130,Joshua Tree (seismicity)
Keddie Ridge,131,Keddie Ridge
Kern Canyon (Lake Isabella),132,Kern Canyon (Lake Isabella)
Kern Canyon (north),133,Kern Canyon (north)
Kern Canyon (south),134,Kern Canyon (south)
Kickapoo,135,Kickapoo
King Range,136,King Range
La Panza,137,La Panza
Laguna Salada,138,Laguna Salada
Lake Isabella (seismicity),139,Lake Isabella (seismicity)
Las Positas,140,Las Positas
Last Chance,141,Last Chance
Lenwood - Lockhart - Old Woman Springs,142,Lenwood - Lockhart - Old Woman Springs
Likely,143,Likely
Lions Head,144,Lions Head
Little Lake,145,Little Lake
Little Salmon (offshore),146,Little Salmon (offshore)
Little Salmon (onshore),147,Little Salmon (onshore)
Los Alamos,148,Los Alamos
Los Alamos (extension),149,Los Alamos (extension)
Los Medanos - Roe Island,150,Los Medanos - Roe Island
Los Osos,151,Los Osos
Lost Hills,152,Lost Hills
Ludlow,153,Ludlow
Maacama,155,Maacama
Mad River - Trinidad [2],156,Mad River - Trinidad [2]
Malibu Coast (extension) [2],159,Malibu Coast (extension) [2]
Malibu Coast [2],161,Malibu Coast [2]
Manix - Afton Hills,162,Manix - Afton Hills
McLean Lake,164,McLean Lake
Mendocino,165,Mendocino
Mission (connected),167,Mission (connected)
Mission Creek,168,Mission Creek
Mission Hills,169,Mission Hills
Mission Ridge - Arroyo Parida - Santa Ana,170,Mission Ridge - Arroyo Parida - Santa Ana
Mohawk Valley,171,Mohawk Valley
Mono Lake,172,Mono Lake
Monte Vista - Shannon,173,Monte Vista - Shannon
Monterey Bay - Tularcitos,174,Monterey Bay - Tularcitos
Morales (east),175,Morales (east)
Morales (west),176,Morales (west)
Mount Diablo [2],179,Mount Diablo [2]
Nelson Lake,180,Nelson Lake
Newport - Inglewood (offshore),181,Newport - Inglewood (offshore)
Newport - Inglewood [2],183,Newport - Inglewood [2]
North Channel [2],184,North Channel [2]
North Frontal (east),185,North Frontal (east)
North Frontal (west),186,North Frontal (west)
North Salt Lake,187,North Salt Lake
North Tahoe,188,North Tahoe
Northridge,189,Northridge
Northridge Hills,190,Northridge Hills
Oak Ridge (offshore) [2],191,Oak Ridge (offshore) [2]
"Oak Ridge (offshore, extension) [2]",192,"Oak Ridge (offshore, extension) [2]"
Oak Ridge (onshore),193,Oak Ridge (onshore)
Oceanic - West Huasna,194,Oceanic - West Huasna
Oceanside [2],196,Oceanside [2]
Ortigalita (north),197,Ortigalita (north)
Ortigalita (south),198,Ortigalita (south)
Owens Valley,199,Owens Valley
Owens Valley (Keough Hot Springs),200,Owens Valley (Keough Hot Springs)
Owl Lake,201,Owl Lake
Ozena,202,Ozena
Palos Verdes,203,Palos Verdes
Panamint Valley,204,Panamint Valley
Paradise,205,Paradise
Peralta Hills,206,Peralta Hills
Pilarcitos,207,Pilarcitos
Pine Mountain,208,Pine Mountain
Pinto Mountain,209,Pinto Mountain
Pisgah - Bullion Mountain - Mesquite Lake,210,Pisgah - Bullion Mountain - Mesquite Lake
Pitas Point (upper) [2],213,Pitas Point (upper) [2]
Pittville,214,Pittville
Pleito,215,Pleito
Point Reyes,216,Point Reyes
Point Reyes (connector),217,Point Reyes (connector)
Polaris,218,Polaris
Puente Hills (Coyote Hills) [2],219,Puente Hills (Coyote Hills) [2]
Puente Hills (Los Angeles) [2],220,Puente Hills (Los Angeles) [2]
Puente Hills (Santa Fe Springs) [2],221,Puente Hills (Santa Fe Springs) [2]
Quien Sabe,223,Quien Sabe
Raymond,224,Raymond
Red Mountain,225,Red Mountain
Red Pass,226,Red Pass
Redondo Canyon [2],228,Redondo Canyon [2]
Reliz,229,Reliz
Richfield,230,Richfield
Rinconada,231,Rinconada
Robinson Creek,232,Robinson Creek
Rocky Ledge,233,Rocky Ledge
Rodgers Creek - Healdsburg,903,Rodgers Creek - Healdsburg
