parent_id,parent_name
2503,Abert Rim
2600,Acala
1138,Agai Pah Hills
1,Airport Lake
310,Airport Lake (south)
2400,Alamogordo
2000,Algodones
2,Almanor
2504,Alvin Canyon
2601,Amargosa
3,Anacapa - Dume
5,Anaheim
1240,Andesite Ridge (unnamed)
2439,Animas Valley
2727,Annabella Graben
1139,Antelope Peak
1140,Antelope Range (NV)
2728,Antelope Range (UT)
1271,Antelope Range (unnamed)
1003,Antelope Range - Kingsley Mountains
1000,Antelope Valley
2555,Arlington - Shutler Butte
1141,Arrow Canyon Range
2016,Arrowhead - Citadel Ruins
2602,Arroyo Diablo
2440,Artillery Range
6,Ash Hill
2001,Aubrey
2017,Babbitt Lake
7,Baker
1004,Bare Mountain
8,Bartlett Springs
9,Battle Creek
1005,Battle Mountain
2505,Battle Rock
311,Bear Creek
10,Bear River (CA)
2900,Bear River (WY)
2729,Beaver Basin (east)
2730,"Beaver Basin (intrabasin, central)"
2731,"Beaver Basin (intrabasin, east)"
2732,"Beaver Basin (intrabasin, west)"
2323,Beaver Creek (MT)
2506,Beaver Creek (OR)
2218,Beaverhead (Blue Dome)
2219,Beaverhead (north)
2556,Beaverton
2018,Bellemont
1142,Belted Range
11,Bennett Valley
1006,Benton Spring (south)
1007,Beowawe
1008,Bettles Well - Petrified Springs
12,Bicycle Lake
2002,Big Chino - Little Chino
2201,Big Flat
13,Big Lagoon
2733,Big Pass
14,Big Pine (center)
15,Big Pine (east)
16,Big Pine (west)
1145,Big Sand Springs (center)
1191,Big Sand Springs (north)
1143,Big Sand Springs Valley
348,"Big Valley (unnamed, proxy)"
2019,Bill Williams
2827,Birch Bay
2324,Bitterroot
2441,Black Hill
1009,Black Hills
2734,Black Mountains
2020,Black Point - Doney Mountain (center)
2021,Black Point - Doney Mountain (north)
2022,Black Point - Doney Mountain (south)
1010,Black Rock
2300,Blacktail
17,Blackwater
1011,Bloody Run Hills
18,Blue Cut
2442,Blue Mountain
2557,Blue Ridge - Gate Creek
1242,Bluewing Mountains (unnamed)
2507,Bolton
1012,Bonham Ranch
2800,Boulder Creek (Kendall)
2325,Boulder River valley western border
2220,Boulder front
19,Brawley
21,Breckenridge
2735,Broadmouth Canyon - James Peak
1013,Buena Vista Valley
1014,Buffalo Creek
2918,Buffalo Fork
1015,Buffalo Mountain
1016,Buffalo Valley
22,Bullion Mountains
23,Burnt Mountain
2190,Busted Boiler
1017,Butte Mountains
2402,Caballo (NM)
2603,Caballo (TX)
2023,Cactus Flats
25,Cady
922,Calaveras (center)
923,Calaveras (north)
921,Calaveras (south)
920,"Calaveras (south, Paicines)"
26,Calico - Hidalgo
1018,California Wash
2024,Cameron Graben
27,Camp Rock
2025,Campbell Francis - Large Whiskers - Rimmy Jim
2604,Campo Grande
28,Canada David
2558,Canby
1265,Candelaria Hills (unnamed)
2404,Canones
2301,Canyon Ferry
2326,Canyon Ferry (Toston)
2828,Canyon River
2829,Canyon River - Price Lake (northeast)
2830,Canyon River - Price Lake (southwest)
2508,Cape Blanco Anticline
2026,Carefree
1019,Carico Lake Valley
29,Carlsbad
357,Carlsbad Ridge
2736,Carrington
1020,Carson City
1144,Carson Lineament
30,Casmalia
2027,Casner Cabin
312,Catalina
2028,Cataract Creek
2443,Cebollita Mesa
31,Cedar Mountain - Mahogany Mountain
1257,Cedar Mountains (unnamed)
2029,Cedar Ranch
2030,Cedar Wash
2444,Cemetery
2302,Centennial (east)
2333,Centennial (west)
32,Cerro Prieto
33,Channel Islands
34,Channel Islands (ramp)
2509,Chemult Graben (east)
2510,Chemult Graben (west)
1148,Cherry Creek
313,Chico Monocline
36,Chino
37,Clamshell - Sawpit
1023,Clan Alpine
1269,Clan Alpine Mountains (unnamed)
38,Clayton
1149,Clayton Valley
39,Cleghorn
40,Cleghorn Lake
41,Cleghorn Pass
2445,Cliff
1150,Coal Mine Canyon
1024,Coaldale
2452,Cochiti Pueblo
314,Cohasset Ridge
42,Collayomi
43,Compton
2031,Concho
44,Concord
1151,Contact (north)
1152,Contact (south)
2511,Coquille Anticline
315,Corning
55,Coronado Bank
1026,Cortez Mountain
2512,Cottonwood Mountain (east)
2405,County Dump
355,Cox Ranch
57,Coyote Canyon
58,Coyote Lake
1027,Coyote Spring
2446,Coyote Springs
2032,Coyote Wash
316,Crafton Hills
2737,Crater Bench
2738,Crawford Mountains - Saleratus Creek
1028,Crescent Dunes
2739,Cricket Mountains (west)
59,Cucamonga
2202,Cuddy Mountain
2221,Curlew Valley
60,Cuyama (south)
2513,Daisy Bank
2488,Datil (unnamed)
61,Davis Creek
1244,Dead Camel Mountain (unnamed)
62,Death Valley (Black Mountains)
63,Death Valley (Fish Lake Valley)
64,Death Valley (north)
65,Death Valley (south)
66,Deep Springs
67,Del Valle
2447,Derry Hills - Foothills
1153,Desatoya Mountains (north)
1029,Desatoya Mountains (south)
1245,"Desert Mountains (center, unnamed)"
1246,"Desert Mountains (east, unnamed)"
1247,"Desert Mountains (west, unnamed)"
2033,Detrital Valley
2801,Devils Mountain
1030,Diamond Mountains
1032,Dixie Valley
68,Dog Valley
1154,Double Spring Flat
2740,Dover
2831,Drayton Harbor
2741,Drum Mountains (east)
2742,Drum Mountains (northwest)
2743,Drum Mountains (south)
1155,Dry Hills
1033,Dry Lake
69,Dry Mountain
1034,Dry Valley - Smoke Creek Ranch
1035,Duck Flat
1036,Dunn Glenn
2003,Dutchman Draw
