parent_id,parent_name,min_rake,max_rake,min_rake_style,max_rake_style,pref_style
1,Airport Lake,-167,120,strike-slip,reverse oblique,normal oblique
2,Almanor,-143,-100,normal oblique,normal,normal
3,Anacapa - Dume,33,164,reverse oblique,strike-slip,reverse oblique
5,Anaheim,-180,173,strike-slip,strike-slip,reverse oblique
6,Ash Hill,-176,12,strike-slip,strike-slip,normal oblique
7,Baker,-180,180,strike-slip,strike-slip,strike-slip
8,Bartlett Springs,-180,180,strike-slip,strike-slip,strike-slip
9,Battle Creek,84,84,reverse,reverse,reverse
10,Bear River (CA),122,176,reverse oblique,strike-slip,reverse oblique
11,Bennett Valley,-180,180,strike-slip,strike-slip,strike-slip
12,Bicycle Lake,5,172,strike-slip,strike-slip,strike-slip
13,Big Lagoon,-169,167,strike-slip,strike-slip,reverse oblique
14,Big Pine (center),-180,180,strike-slip,strike-slip,strike-slip
15,Big Pine (east),-180,180,strike-slip,strike-slip,strike-slip
16,Big Pine (west),-43,177,normal oblique,strike-slip,reverse oblique
17,Blackwater,-180,180,strike-slip,strike-slip,strike-slip
18,Blue Cut,-180,180,strike-slip,strike-slip,strike-slip
19,Brawley,-180,180,strike-slip,strike-slip,strike-slip
21,Breckenridge,-99,176,normal,strike-slip,normal oblique
22,Bullion Mountains,-180,180,strike-slip,strike-slip,strike-slip
23,Burnt Mountain,-180,180,strike-slip,strike-slip,reverse oblique
25,Cady,-180,180,strike-slip,strike-slip,strike-slip
26,Calico - Hidalgo,-180,180,strike-slip,strike-slip,strike-slip
27,Camp Rock,-180,180,strike-slip,strike-slip,strike-slip
28,Canada David,-180,180,strike-slip,strike-slip,normal oblique
29,Carlsbad,-180,180,strike-slip,strike-slip,reverse
30,Casmalia,-180,180,strike-slip,strike-slip,strike-slip
31,Cedar Mountain - Mahogany Mountain,-109,-83,normal,normal,normal
32,Cerro Prieto,-180,180,strike-slip,strike-slip,strike-slip
33,Channel Islands,39,159,reverse oblique,reverse oblique,reverse oblique
34,Channel Islands (ramp),24,172,reverse oblique,strike-slip,reverse oblique
36,Chino,-180,180,strike-slip,strike-slip,reverse oblique
37,Clamshell - Sawpit,-180,180,strike-slip,strike-slip,reverse
38,Clayton,-180,180,strike-slip,strike-slip,strike-slip
39,Cleghorn,-180,180,strike-slip,strike-slip,strike-slip
40,Cleghorn Lake,-180,180,strike-slip,strike-slip,strike-slip
41,Cleghorn Pass,-176,4,strike-slip,strike-slip,strike-slip
42,Collayomi,171,179,strike-slip,strike-slip,strike-slip
43,Compton,44,170,reverse oblique,strike-slip,reverse oblique
44,Concord,-180,180,strike-slip,strike-slip,strike-slip
55,Coronado Bank,-180,180,strike-slip,strike-slip,strike-slip
57,Coyote Canyon,-177,179,strike-slip,strike-slip,strike-slip
58,Coyote Lake,-180,180,strike-slip,strike-slip,strike-slip
59,Cucamonga,-179,180,strike-slip,strike-slip,reverse oblique
60,Cuyama (south),-15,177,strike-slip,strike-slip,reverse oblique
61,Davis Creek,-121,-86,normal oblique,normal,normal
62,Death Valley (Black Mountains),-174,17,strike-slip,strike-slip,normal oblique
63,Death Valley (Fish Lake Valley),-180,180,strike-slip,strike-slip,strike-slip
64,Death Valley (north),-179,4,strike-slip,strike-slip,strike-slip
65,Death Valley (south),-180,180,strike-slip,strike-slip,strike-slip
66,Deep Springs,-160,-91,normal oblique,normal,normal oblique
67,Del Valle,49,170,reverse oblique,strike-slip,reverse oblique
68,Dog Valley,-173,162,strike-slip,strike-slip,normal oblique
69,Dry Mountain,-168,-62,strike-slip,normal oblique,normal oblique
70,Earthquake Valley (center),-180,180,strike-slip,strike-slip,strike-slip
71,Earthquake Valley (north),-180,180,strike-slip,strike-slip,strike-slip
72,Earthquake Valley (south),160,180,strike-slip,strike-slip,strike-slip
73,East Huasna,-180,180,strike-slip,strike-slip,strike-slip
74,Eaton Roughs,94,180,reverse,strike-slip,strike-slip
75,Elmore Ranch,-178,-10,strike-slip,strike-slip,strike-slip
76,Elysian Park (lower),-180,179,strike-slip,strike-slip,reverse oblique
77,Elysian Park (upper),42,168,reverse oblique,strike-slip,reverse oblique
78,Emerson - Copper Mountain,-180,180,strike-slip,strike-slip,strike-slip
79,Eureka Peak,-180,180,strike-slip,strike-slip,strike-slip
80,Fickle Hill,85,162,reverse,strike-slip,reverse
81,Fish Slough,-156,-59,normal oblique,normal oblique,normal
82,Fitzhugh Creek,-165,-83,strike-slip,normal,normal
83,Fontana (seismicity),8,179,strike-slip,strike-slip,strike-slip
84,Franklin,-180,180,strike-slip,strike-slip,strike-slip
85,Garberville - Briceland,155,180,reverse oblique,strike-slip,strike-slip
86,Garlic Springs,-180,179,strike-slip,strike-slip,strike-slip
